,reinspection,recent_inspection,task_force,special_event,canvass,closeup,liquor,fire,no_entry,complaint,license,risk,prev_fail,cumulative_failures,ever_failed,cumulative_inspections,proportion_past_failures,days_since_last_inspection,tmax,tmin,tmax_3,tmax_5,ward,police_district,cluster,crime_count_theft,crime_count_burglary,crime_count_other_crime,sanitation_violation_count,inspection_week,risk_description_All,risk_description_Missing,risk_description_Risk 1 (High),risk_description_Risk 2 (Medium),risk_description_Risk 3 (Low),conditional_approval_Missing,conditional_approval_N,conditional_approval_Y,license_status_AAC,license_status_AAI,license_status_Missing,license_status_REV,inspection_weekday_Friday,inspection_weekday_Monday,inspection_weekday_Saturday,inspection_weekday_Sunday,inspection_weekday_Thursday,inspection_weekday_Tuesday,inspection_weekday_Wednesday
1852,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,0.0,0.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,7671.0,59.0,1.0,63.0,64.0,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1881,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,27.0,12.0,6466.0,82.0,2.0,56.0,16.0,35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1882,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0.0,0.0,73.0,63.0,77.6666666667,78.2,42.0,1.0,6473.0,127.0,10.0,133.0,23.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1883,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0.0,420.0,73.0,63.0,77.6666666667,78.2,0.0,0.0,8070.0,57.0,7.0,77.0,56.0,35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1853,1,0,0,0,0,0,0,0,0,1,0,1,1,2,1,14,0.142857142857,2.0,73.0,63.0,77.6666666667,78.2,42.0,1.0,6273.0,167.0,3.0,161.0,17.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1885,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0.0,0.0,73.0,63.0,77.6666666667,78.2,6.0,7.0,3270.0,8.0,8.0,127.0,39.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1886,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,0.0,73.0,63.0,77.6666666667,78.2,42.0,1.0,6474.0,306.0,6.0,310.0,13.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1888,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,7,0.0,0.0,73.0,63.0,77.6666666667,78.2,20.0,0.0,3778.0,19.0,18.0,160.0,113.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1890,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0.0,0.0,73.0,63.0,77.6666666667,78.2,25.0,9.0,5165.0,71.0,1.0,45.0,14.0,35,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1851,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0.0,0.0,73.0,63.0,77.6666666667,78.2,50.0,24.0,9360.0,19.0,6.0,74.0,57.0,35,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
